,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,19.809809684753418,6.651249046063476,0.015625524520874023,6.97552625576391e-07,0.01,"[50, 50]",0.001,adam,0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.001, 'solver': 'adam', 'tol': 0.0001}",0.7082200881802259,0.7178584436081098,0.7012220319971663,0.7413883546074489,0.7108104900913729,0.7158998816968647,0.01381172417370808,23
1,17.287796306610108,2.483756649729895,0.018751764297485353,0.006250190860369718,0.01,"[50, 50]",0.001,adam,1e-05,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.001, 'solver': 'adam', 'tol': 1e-05}",0.7199205282533746,0.7194608256107835,0.7311964090464408,0.6993464052287581,0.7074912259469927,0.7154830788172699,0.011015299548760365,24
2,9.631452751159667,11.521660527441831,0.01562666893005371,4.264961199760036e-07,0.01,"[50, 50]",0.001,sgd,0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.001, 'solver': 'sgd', 'tol': 0.0001}",0.6616897492663337,0.66696887277123,0.6681655595298928,0.6423547235147711,0.6755163866703388,0.6629390583505133,0.011198397388250863,69
3,5.674336910247803,2.3930350117502406,0.01562657356262207,8.476442735019291e-07,0.01,"[50, 50]",0.001,sgd,1e-05,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.001, 'solver': 'sgd', 'tol': 1e-05}",0.6679196032367528,0.6538782318598833,0.6654566198205673,0.6567323612668909,0.664108860241457,0.6616191352851102,0.005374440630831023,70
4,11.009977102279663,2.582752682682841,0.018751096725463868,0.006250286136854138,0.01,"[50, 50]",0.01,adam,0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.01, 'solver': 'adam', 'tol': 0.0001}",0.709340064911648,0.7146336893385796,0.7292555713608345,0.7343740795287188,0.7203296027548887,0.7215866015789338,0.009189487307144362,20
5,12.08816180229187,2.584283801750805,0.021876764297485352,0.00765438293829051,0.01,"[50, 50]",0.01,adam,1e-05,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.01, 'solver': 'adam', 'tol': 1e-05}",0.7266612547837179,0.7256920895246317,0.7330846484935438,0.7335755554231939,0.7285542168674699,0.7295135530185114,0.0032530631943876983,14
6,12.019083213806152,1.4418228682784056,0.01562652587890625,5.761645304486547e-07,0.01,"[50, 50]",0.01,sgd,0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.01, 'solver': 'sgd', 'tol': 0.0001}",0.6737525458248472,0.6901863938378315,0.7038250152667518,0.6743723589361172,0.7007874015748031,0.6885847430880703,0.012694266377275882,35
7,9.717662477493286,0.6911507969473839,0.025002527236938476,0.007655161642778613,0.01,"[50, 50]",0.01,sgd,1e-05,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.01, 'solver': 'sgd', 'tol': 1e-05}",0.6958209636903404,0.6557115702986083,0.6578236305576026,0.660617501979173,0.6882140531581128,0.6716375439367674,0.016885026578956883,55
8,13.903237915039062,3.7160994743284026,0.02187647819519043,0.007655589877625124,0.01,"[50, 50]",0.005,adam,0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.005, 'solver': 'adam', 'tol': 0.0001}",0.7318645889306825,0.7405153901216894,0.7269224032229813,0.7388573137900091,0.7194066749072929,0.7315132741945309,0.007781288754042707,13
9,13.413232707977295,2.042474897252481,0.018751859664916992,0.006250381518836279,0.01,"[50, 50]",0.005,adam,1e-05,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.005, 'solver': 'adam', 'tol': 1e-05}",0.6932420209329371,0.7453831271618689,0.7240699679724071,0.7327627772420444,0.7414896047521132,0.7273894996122741,0.01859314551278778,17
10,15.915199279785156,3.116353945623854,0.015627336502075196,1.4957797185285685e-06,0.01,"[50, 50]",0.005,sgd,0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.005, 'solver': 'sgd', 'tol': 0.0001}",0.6720652703360935,0.6999940202116844,0.6779457643388528,0.6852092218307684,0.6904911658756934,0.6851410885186185,0.00971583512569212,41
11,19.284133625030517,4.936091920715819,0.01875171661376953,0.006250691438205686,0.01,"[50, 50]",0.005,sgd,1e-05,"{'alpha': 0.01, 'hidden_layer_sizes': [50, 50], 'learning_rate_init': 0.005, 'solver': 'sgd', 'tol': 1e-05}",0.6985145573380869,0.6840531164014835,0.7129805013927576,0.6951219512195121,0.6905401372724559,0.6962420527248592,0.009671365745632363,29
12,31.643865633010865,4.47934546679752,0.04062671661376953,0.007654694401076104,0.01,"[100, 100]",0.001,adam,0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': [100, 100], 'learning_rate_init': 0.001, 'solver': 'adam', 'tol': 0.0001}",0.7298996493773424,0.7328345601544587,0.7328920931331994,0.7319575331027078,0.7167061395518308,0.7288579950639078,0.006171657626620434,15
